id,name,status,species,type,gender,origin_name,location_name,created
null,,Alive,Human,,,,,
null,,Alive,Human,,,,,
null,,Alive,Human,,,,,
null,,Alive,Human,,,,,
null,,Alive,Human,,,,,
null,,Alive,Alien,,,,,
null,,unknown,Human,,,,,
null,,Dead,Human,,,,,
null,,Dead,Human,,,,,
null,,Dead,Human,,,,,
null,,Dead,Human,,,,,
null,,Dead,Human,,,,,
null,,unknown,Alien,,,,,
null,,unknown,Alien,,,,,
null,,unknown,Alien,,,,,
null,,Dead,Alien,,,,,
null,,Alive,Human,,,,,
null,,Alive,Human,,,,,
null,,unknown,Human,,,,,
null,,unknown,Human,,,,,
77,Dasha,Alive,Ech,Girl,Female,Earth (C-137),Citadel of Sadness,2026-04-23T13:08:51.217482900
